SNo,Name,Phone number,Address,ItemName,Total_Price(INR)
0,RD,9832832144,XYZ appartment       ,Acetone,70
1,RD,9832832144,XYZ appartment       ,HCl,150
2,RD,9832832144,XYZ appartment       ,Benzyl Chloride,114
3,RD,9832832144,XYZ appartment       ,Acetone,70
4,RD,9832832144,XYZ appartment       ,Acetone,140
5,RD,9832832144,XYZ appartment       ,Acetone,70
6,RD,9832832144,XYZ appartment       ,Acetone,70
7,RD,9832832144,XYZ appartment       ,Chloroform,258
8,RD,9832832144,XYZ appartment       ,Chloroform,5848
9,RD,9832832144,XYZ appartment       ,Acetone,0
10,RD,9832832144,XYZ appartment       ,Acetone,140
11,DD,9238385552,FGH Appartment       ,HCl,150
12,DD,9238385552,FGH Appartment       ,Chloroform,172
13,DD,9238385552,FGH Appartment       ,Acetone,210
14,DD,9238385552,FGH Appartment       ,Acetone,140
15,RD,9899999999,r       ,Acetone,210
16,RD,9899999999,r       ,HCl,150
